표준코드,단축코드,상장일,상장좌수,총보수,시가,거래량,시가총액,보수
KR7295040000,295040,2018-04-23,18300000,0.05,13465.0,583.0,246410.0,0.05
KR7294400007,294400,2018-04-23,11450000,0.012,47005.0,232.0,538207.0,0.012
KR7069660009,69660,2002-10-14,14250000,0.13,39375.0,386.0,561094.0,0.13
KR7100910009,100910,2008-01-23,1800000,0.23,6230.0,52.0,11214.0,0.23
KR7104520002,104520,2008-07-29,1200000,0.4,9690.0,18.0,11628.0,0.4
KR7316670009,316670,2019-01-22,2120000,0.15,7350.0,21.0,15582.0,0.15
KR7332500008,332500,2019-08-28,14400000,0.03,24120.0,5392.0,347328.0,0.03
KR7143460004,143460,2011-06-21,2000000,0.15,9555.0,12.0,19110.0,0.15
KR7108450008,108450,2009-02-03,14800000,0.15,16275.0,582.0,240870.0,0.15
KR7354500001,354500,2020-05-07,1800000,0.1,14805.0,12.0,26649.0,0.1
KR7105190003,105190,2008-09-25,17100000,0.09,39680.0,17319.0,678528.0,0.09
KR7152100004,152100,2012-01-10,18700000,0.04,40090.0,6945.0,749683.0,0.04
KR7251590006,251590,2016-08-11,1050000,0.23,11300.0,68.0,11865.0,0.23
KR7161510003,161510,2012-08-29,15960000,0.23,12420.0,32249.0,198223.0,0.23
KR7328370002,328370,2019-06-25,6900000,0.15,15035.0,109.0,103742.0,0.15
